set_id,sent,pos,dict_text,wn-pos,PosScore,NegScore,SynsetTerms,Gloss
56,NULL,JJ,spanky,NULL,NULL,NULL,NULL,NULL
57,z,IN-HL,out,n,0,0,out#1,"(baseball) a failure by a batter or runner to reach a base safely in baseball; ""you only get 3 outs per inning"""
57,NULL,NN,kast,NULL,NULL,NULL,NULL,NULL
58,NULL,NNP,mario,NULL,NULL,NULL,NULL,NULL
58,NULL,CC,and,NULL,NULL,NULL,NULL,NULL
59,NULL,JJ,jeter,NULL,NULL,NULL,NULL,NULL
60,z,NNP,kelly,n,0,0,weary_willie#1 kelly#1 emmett_kelly#1,United States circus clown (1898-1979)
61,z,NNS,olives,n,0,0,olive#1,small ovoid fruit of the European olive tree; important food and source of oil
62,z,NN,orange,n,0,0,orange#1,round yellow to orange fruit of any of several citrus trees
63,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
63,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
63,NULL,NNP,manny,NULL,NULL,NULL,NULL,NULL
64,NULL,NNP,katie,NULL,NULL,NULL,NULL,NULL
65,NULL,NNP,vannie,NULL,NULL,NULL,NULL,NULL
66,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
67,z,NN,pug,n,0,0,pug-dog#1 pug#1,small compact smooth-coated breed of Asiatic origin having a tightly curled tail and broad flat wrinkled muzzle
68,n,VB,rob,v,0,0.5,rob#1,"take something away by force or without the consent of the owner; ""The burglars robbed him of all his money"""
68,z,NN,ic,n,0,0,united_states_intelligence_community#1 national_intelligence_community#1 intelligence_community#1 ic#1,a group of government agencies and organizations that carry out intelligence activities for the United States government; headed by the Director of Central Intelligence
68,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
69,z,NN,van,n,0,0,vanguard#2 van#1 new_wave#2 avant-garde#1,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
70,NULL,JJ,sneaky,NULL,NULL,NULL,NULL,NULL
71,z,NN,elephant,n,0,0,elephant#1,five-toed pachyderm
72,z,NN,war,n,0,0,warfare#1 war#1,"the waging of armed conflict against an enemy; ""thousands of people were killed in the war"""
72,z,NN,eagle,n,0,0,eagle#1 bird_of_jove#1,any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
73,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
74,NULL,NNP,amanda,NULL,NULL,NULL,NULL,NULL
75,p,NN,turtle,n,0.5,0,turtleneck#1 turtle#1 polo-neck#1,a sweater or jersey with a high close-fitting collar
76,z,NNP,robert,n,0,0,robert#1 henry_martyn_robert#1 henry_m._robert#1,United States parliamentary authority and author (in 1876) of Robert's Rules of Order (1837-1923)
77,NULL,NNP,bella,NULL,NULL,NULL,NULL,NULL
78,z,NNP,harvey,n,0,0,william_harvey#1 harvey#1,English physician and scientist who described the circulation of the blood; he later proposed that all animals originate from an ovum produced by the female of the species (1578-1657)
79,NULL,NNP,louie,NULL,NULL,NULL,NULL,NULL
80,NULL,JJ,depleted,NULL,NULL,NULL,NULL,NULL
81,z,AP,single,n,0,0,single#1 bingle#1,a base hit on which the batter stops safely at first base
82,NULL,NNP,jaime,NULL,NULL,NULL,NULL,NULL
83,z,RB,incognito,r,0,0,incognito#1,"without revealing one's identity; ""in Holland he lived incognito as a carpenter in the shipyards of the East India company"""
84,p,VB,get,v,0.125,0,get#1 acquire#1,"come into the possession of something concrete or abstract; ""She got a lot of paintings from her uncle""; ""They acquired a new pet""; ""Get your results the next day""; ""Get permission to take a few days off from work"""
84,p,JJ,nice,a,0.875,0,nice#1,"pleasant or pleasing or agreeable in nature or appearance; ""what a nice fellow you are and we all thought you so nasty""- George Meredith; ""nice manners""; ""a nice dress""; ""a nice face""; ""a nice day""; ""had a nice time at the party""; ""the corn and tomatoes are nice today"""
85,n,JJ,dead,a,0,0.75,dead#1,"no longer having or seeming to have or expecting to have life; ""the nerve is dead""; ""a dead pallor""; ""he was marked as a dead man by the assassin"""
85,NULL,NNP,kare,NULL,NULL,NULL,NULL,NULL
86,z,NN,dancer,n,0,0,terpsichorean#1 professional_dancer#1 dancer#1,a performer who dances professionally
87,NULL,JJ,rusty,NULL,NULL,NULL,NULL,NULL
88,NULL,NNP,barney,NULL,NULL,NULL,NULL,NULL
89,NULL,JJ,foxy,NULL,NULL,NULL,NULL,NULL
90,z,NN,sunshine,n,0,0,sunshine#1 sunlight#1 sun#2,"the rays of the sun; ""the shingles were weathered by the sun and wind"""
91,z,NN,password,n,0,0,word#9 watchword#2 password#1 parole#2 countersign#1,"a secret word or phrase known only to a restricted group; ""he forgot the password"""
92,z,NN,diesel,n,0,0,rudolf_diesel#1 rudolf_christian_karl_diesel#1 diesel#1,German engineer (born in France) who invented the diesel engine (1858-1913)
93,z,NNP,jasmine,n,0,0,jasmine#1,any of several shrubs and vines of the genus Jasminum chiefly native to Asia
93,z,NN,lei,n,0,0,wreath#1 lei#1 garland#4 coronal#1 chaplet#1,flower arrangement consisting of a circular band of foliage or flowers for ornamental purposes
94,z,NNS,angels,n,0,0,angel#1,spiritual being attendant upon God
95,n,AT,an,n,0,0.125,associate_in_nursing#1 an#1,an associate degree in nursing
95,z,NN,id,n,0,0,idaho#1 id#1 gem_state#1,a state in the Rocky Mountains
96,NULL,NNP,jojo,NULL,NULL,NULL,NULL,NULL
97,NULL,JJ,august,NULL,NULL,NULL,NULL,NULL
98,NULL,NNP,vida,NULL,NULL,NULL,NULL,NULL
99,z,PPS,it,n,0,0,it#1 information_technology#1,the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
99,z,NN,ton,n,0,0,ton#1 short_ton#1 net_ton#1,a United States unit of weight equivalent to 2000 pounds
100,z,VB,tink,v,0,0,tinkle#1 tink#1 clink#2 chink#1,"make or emit a high sound; ""tinkling bells"""
101,z,NN,sonny,n,0,0,sonny_boy#1 sonny#1 laddie#1 lad#2 cub#2,a male child (a familiar term of address to a boy)
102,NULL,NN,ste,NULL,NULL,NULL,NULL,NULL
103,z,NN,princess,n,0,0,princess#1,a female member of a royal family other than the queen (especially the daughter of a sovereign)
104,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
105,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
106,z,NN,school,n,0,0,school#1,"an educational institution; ""the school was founded in 1900"""
107,z,NNS,clouds,n,0,0,cloud#1,"any collection of particles (e.g., smoke or dust) or gases that is visible"
108,p,NN,bang,n,0.5,0,smash#1 knock#3 belt#4 bash#1 bang#1,"a vigorous blow; ""the sudden knock floored him""; ""he took a bash right in his face""; ""he got a bang on the head"""
109,z,NN,speaker,n,0,0,verbalizer#1 verbaliser#1 utterer#3 talker#1 speaker#1,"someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous); ""the speaker at commencement""; ""an utterer of useful maxims"""
110,NULL,NNP,peta,NULL,NULL,NULL,NULL,NULL
111,NULL,NNP,kristina,NULL,NULL,NULL,NULL,NULL
112,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
113,NULL,RB,prior,NULL,NULL,NULL,NULL,NULL
114,z,NN,butt,n,0,0,butt_end#1 butt#1,thick end of the handle
114,z,NN,fly,n,0.25,0.25,fly#1,two-winged insects characterized by active flight
115,z,NN,spirit,n,0,0,spirit#1,the vital principle or animating force within living things
116,NULL,NNP,edi,NULL,NULL,NULL,NULL,NULL
117,z,NNP,jefferson,n,0,0,thomas_jefferson#1 president_jefferson#1 jefferson#1,3rd President of the United States; chief drafter of the Declaration of Independence; made the Louisiana Purchase in 1803 and sent out the Lewis and Clark Expedition to explore it (1743-1826)
118,z,NN,quicksilver,n,0,0,quicksilver#1 mercury#1 hydrargyrum#1 hg#1 atomic_number_80#1,a heavy silvery toxic univalent and bivalent metallic element; the only metal that is liquid at ordinary temperatures
119,z,NNP,cassie,n,0,0,sweet_wattle#1 sweet_acacia#1 scented_wattle#1 mimosa_bush#1 huisache#1 flame_tree#5 cassie#1 acacia_farnesiana#1,tropical American thorny shrub or small tree; fragrant yellow flowers used in making perfumery
120,NULL,VB,ott,NULL,NULL,NULL,NULL,NULL
120,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
120,z,NN,ess,n,0,0,es#1 einsteinium#1 e#2 atomic_number_99#1,a radioactive transuranic element produced by bombarding plutonium with neutrons
121,z,NN,fireman,n,0,0,fireman#1,play in which children pretend to put out a fire
122,z,NNP,cody,n,0,0,william_frederick_cody#1 william_f._cody#1 cody#1 buffalo_bill_cody#1 buffalo_bill#1,United States showman famous for his Wild West Show (1846-1917)
123,z,NN,Uzi,n,0,0,uzi#1,"a type of submachine gun that is designed and manufactured in Israel; ""the Uzi is used throughout the world as a police and special forces firearm"""
123,NULL,NN,nha,NULL,NULL,NULL,NULL,NULL
124,n,NN,baby,n,0,0.375,infant#1 baby#1 babe#1,"a very young child (birth to 1 year) who has not yet begun to walk or talk; ""the baby began to cry again""; ""she held the baby in her arms""; ""it sounds simple, but when you have your own baby it is all so different"""
124,p,NN,love,n,0.625,0,love#1,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love"""
125,NULL,NNP,keith,NULL,NULL,NULL,NULL,NULL
126,NULL,NNP,peyton,NULL,NULL,NULL,NULL,NULL
127,NULL,NP,tuma,NULL,NULL,NULL,NULL,NULL
127,NULL,NN,dre,NULL,NULL,NULL,NULL,NULL
128,NULL,NN,shanahan,NULL,NULL,NULL,NULL,NULL
129,NULL,NP,kra,NULL,NULL,NULL,NULL,NULL
129,NULL,NP,tch,NULL,NULL,NULL,NULL,NULL
130,NULL,NNP,sebastian,NULL,NULL,NULL,NULL,NULL
131,NULL,NNP,jessica,NULL,NULL,NULL,NULL,NULL
132,z,NN,id,n,0,0,idaho#1 id#1 gem_state#1,a state in the Rocky Mountains
132,z,CS,as,n,0,0,atomic_number_33#1 as#1 arsenic#2,a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
133,NULL,NNP,nikki,NULL,NULL,NULL,NULL,NULL
133,z,NNS,beans,n,0,0,edible_bean#1 bean#1,any of various edible seeds of plants of the family Leguminosae used for food
134,z,NN,rus,n,0,0,rus#1,the medieval Russian state established by Scandinavian traders in the 9th century; the capital was first in Novgorod and then in Kiev
134,NULL,NP,kaya,NULL,NULL,NULL,NULL,NULL
135,NULL,NNP,zoe,NULL,NULL,NULL,NULL,NULL
135,NULL,NNP,chloe,NULL,NULL,NULL,NULL,NULL
136,NULL,UH,hey,NULL,NULL,NULL,NULL,NULL
136,z,RB,there,r,0,0,there#1 in_that_location#1 at_that_place#1,"in or at that place; ""they have lived there for years""; ""it's not there""; ""that man there"""
136,p,JJ,sexy,a,0.625,0,sexy#1,"marked by or tending to arouse sexual desire or interest; ""feeling sexy""; ""sexy clothes""; ""sexy poses""; ""a sexy book""; ""sexy jokes"""
137,z,NN,mya,n,0,0,mya#1 genus_mya#1,type genus of the family Myacidae
137,z,NN,dog,n,0,0,domestic_dog#1 dog#1 canis_familiaris#1,"a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds; ""the dog barked all night"""
138,NULL,NNP,brandon,NULL,NULL,NULL,NULL,NULL
139,z,NN,skittles,n,0,0,skittles#1 ninepins#1,a bowling game that is played by rolling a bowling ball down a bowling alley at a target of nine wooden pins
140,z,AP-HL,next,r,0,0,next#1,"at the time or occasion immediately following; ""next the doctor examined his back"""
141,z,NN,kerb,n,0,0,kerb#1 curbing#1 curb#1,an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
141,z,NN,ear,n,0,0,ear#1,the sense organ for hearing and equilibrium
142,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
142,z,NN,Inc,n,0,0,iraqi_national_congress#1 inc#1,a heterogeneous collection of groups united in their opposition to Saddam Hussein's government of Iraq; formed in 1992 it is comprised of Sunni and Shiite Arabs and Kurds who hope to build a new government
142,z,NN,ute,n,0,0,ute#1,a member of the Shoshonean people of Utah and Colorado and New Mexico
143,z,NN,campbell,n,0,0,joseph_campbell#1 campbell#1,United States mythologist (1904-1987)
144,NULL,NNP,andy,NULL,NULL,NULL,NULL,NULL
145,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
146,z,NN,vet,n,0,0,veterinary_surgeon#1 veterinary#1 veterinarian#1 vet#1,a doctor who practices veterinary medicine
147,z,NN,monk,n,0,0,monk#1 monastic#1,a male religious living in a cloister and devoting himself to contemplation and prayer and work
148,NULL,NP,los,NULL,NULL,NULL,NULL,NULL
148,NULL,VBD,ced,NULL,NULL,NULL,NULL,NULL
148,z,NNP,ros,n,0,0,ro#1,an artificial language for international use that rejects all existing words and is based instead on an abstract analysis of ideas
149,z,UH,oh,n,0,0,ohio#1 oh#1 buckeye_state#1,a midwestern state in north central United States in the Great Lakes region
149,z,NNP,ana,n,0,0,ana#1,mother of the ancient Irish gods; sometimes identified with Danu
150,z,NN,design,n,0,0,designing#1 design#1,"the act of working out the form of something (as by making a sketch or outline or plan); ""he contributed to the design of a new instrument"""
151,p,JJ,inner,a,0.125,0,inner#2,"located or occurring within or closer to a center; ""an inner room"""
151,n,NN,rage,n,0.25,0.5,rage#1 madness#3 fury#1,"a feeling of intense anger; ""hell hath no fury like a woman scorned""; ""his face turned red with rage"""
152,z,NN,butterfly,n,0,0,butterfly#1,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings
153,z,NN,dancer,n,0,0,terpsichorean#1 professional_dancer#1 dancer#1,a performer who dances professionally
154,z,MD,may,n,0,0,may#1,the month following April and preceding June
155,z,NN,diesel,n,0,0,rudolf_diesel#1 rudolf_christian_karl_diesel#1 diesel#1,German engineer (born in France) who invented the diesel engine (1858-1913)
156,n,JJ,cheap,a,0,0.625,inexpensive#1 cheap#1,"relatively low in price or charging low prices; ""it would have been cheap at twice the price""; ""inexpensive family restaurants"""
156,n,NN,hat,n,0,0.25,lid#3 hat#1 chapeau#1,headdress that protects the head from bad weather; has shaped crown and usually a brim
157,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
158,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
159,z,AT,a,n,0,0,angstrom_unit#1 angstrom#1 a#1,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
160,NULL,KK,Compaq,NULL,NULL,NULL,NULL,NULL
161,z,NN,power,n,0,0,powerfulness#1 power#1,"possession of controlling influence; ""the deterrent power of nuclear weapons""; ""the power of his love saved her""; ""his powerfulness was concealed by a gentle facade"""
161,z,NN,zone,n,0.25,0.25,zone#1,a locally circumscribed place characterized by some distinctive features
162,z,NN,ace,n,0,0,unity#2 single#2 one#1 i#2 ace#1 1#1,"the smallest whole number or a numeral representing this number; ""he has the one but will need a two and three to go with it""; ""they had lunch at one"""
163,z,PPO,em,n,0,0,mutton_quad#1 em_quad#1 em#1,"a quad with a square body; ""since `em quad' is hard to distinguish from `en quad', printers sometimes called it a `mutton quad'"""
163,z,IN,in,n,0,0,inch#1 in#1,a unit of length equal to one twelfth of a foot
163,z,PPO,em,n,0,0,mutton_quad#1 em_quad#1 em#1,"a quad with a square body; ""since `em quad' is hard to distinguish from `en quad', printers sometimes called it a `mutton quad'"""
164,NULL,NNP,ari,NULL,NULL,NULL,NULL,NULL
165,NULL,NNP,charlene,NULL,NULL,NULL,NULL,NULL
166,z,NN,sweetness,n,0,0,sweetness#1 sweet#4 sugariness#1,the taste experience when sugar dissolves in the mouth
167,z,FW-AT-TL,das,n,0,0,hyrax#1 dassie#1 das#1 cony#1 coney#2,any of several small ungulate mammals of Africa and Asia with rodent-like incisors and feet with hooflike toes
168,NULL,NNP,kristen,NULL,NULL,NULL,NULL,NULL
169,NULL,NN,sasa,NULL,NULL,NULL,NULL,NULL
170,z,NNP,muffin,n,0,0,muffin#1 gem#4,a sweet quick bread baked in a cup-shaped pan
171,z,NNP,ross,n,0,0,sir_john_ross#1 ross#1 john_ross#1,Scottish explorer who led Arctic expeditions that yielded geographic discoveries while searching for the Northwest Passage (1777-1856)
172,n,JJ,wrong,a,0.125,0.75,wrong#1 incorrect#1,"not correct; not in conformity with fact or truth; ""an incorrect calculation""; ""the report in the paper is wrong""; ""your information is wrong""; ""the clock showed the wrong time""; ""found themselves on the wrong road""; ""based on the wrong assumptions"""
172,z,NN,way,n,0,0,way#1 style#1 mode#1 manner#1 fashion#1,"how something is done or how it happens; ""her dignified manner""; ""his rapid manner of talking""; ""their nomadic mode of existence""; ""in the characteristic New York style""; ""a lonely way of life""; ""in an abrasive fashion"""
173,z,NN,cash,n,0,0,hard_currency#2 hard_cash#1 cash#1,"money in the form of bills or coins; ""there is a desperate shortage of hard cash"""
173,z,NN,flow,n,0,0,flowing#1 flow#1,the motion characteristic of fluids (liquids or gases)
174,z,NNS,stitches,n,0,0,stitch#1,"a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing"
175,z,NN,superman,n,0,0,ubermensch#1 superman#1 demigod#1,a person with great powers and abilities
176,p,BEZ,is,v,0.25,0.125,be#1,"have the quality of being; (copula, used with an adjective or a predicate noun); ""John is rich""; ""This is not a good answer"""
176,z,MD,kin,n,0,0,kinsperson#1 kin#1 family#5,"a person having kinship with another or others; ""he's kin""; ""he's family"""
177,z,NN,lollipop,n,0,0,popsicle#1 lolly#2 lollipop#1 ice_lolly#1,"ice cream or water ice on a small wooden stick; ""in England a popsicle is called an ice lolly"""
178,z,NNP,kelly,n,0,0,weary_willie#1 kelly#1 emmett_kelly#1,United States circus clown (1898-1979)
179,z,NN,i,n,0,0,iodine#1 iodin#1 i#1 atomic_number_53#1,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
